Data Source,Indicator,Indicator Measure,Gender,Geography,Denominator,Numerator,Prevalence,Lower 95% CI (Prevalence),Upper 95% CI (Prevalence),Confidence interval type,Release Flag (Prevalence),Comparison with Canada
2020 and 2021 SCMH (combined),High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,females,British Columbia,960,490,47.3,43.5,51.1,Wald,C,not significantly different
2020 and 2021 SCMH (combined),High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,females,Alberta,907,426,44.7,41.0,48.4,Wald,C,significantly lower
2020 and 2021 SCMH (combined),High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,females,Saskatchewan,815,394,48.1,43.9,52.4,Wald,C,not significantly different
2020 and 2021 SCMH (combined),High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,females,Manitoba,836,425,50.1,46.0,54.1,Wald,C,not significantly different
2020 and 2021 SCMH (combined),High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,females,Ontario,1655,880,50.4,47.6,53.3,Wald,C,not significantly different
2020 and 2021 SCMH (combined),High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,females,Quebec,1488,993,64.9,62.2,67.6,Wald,C,significantly higher
2020 and 2021 SCMH (combined),High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,females,New Brunswick,794,396,45.9,41.8,49.9,Wald,C,significantly lower
2020 and 2021 SCMH (combined),High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,females,Nova Scotia,881,445,47.0,43.0,50.9,Wald,C,significantly lower
2020 and 2021 SCMH (combined),High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,females,Prince Edward Island,731,413,53.1,48.8,57.4,Wald,C,not significantly different
2020 and 2021 SCMH (combined),High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,females,Newfoundland And Labrador,703,420,55.6,51.2,59.9,Wald,C,not significantly different
2020 and 2021 SCMH (combined),High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,females,Yukon (Whitehorse),456,220,47.8,42.8,52.8,Wald,C,not significantly different
2020 and 2021 SCMH (combined),High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,females,Northwest Territories (Yellowknife),375,168,42.8,36.8,48.8,Wald,C,significantly lower
2020 and 2021 SCMH (combined),High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,females,Nunavut (Iqaluit),209,92,39.8,31.8,47.8,Wald,C,significantly lower
2020 and 2021 SCMH (combined),High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,males,Canada,8079,4999,59.2,57.5,60.9,Wald,C,
2020 and 2021 SCMH (combined),High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,males,British Columbia,760,469,56.6,52.1,61.0,Wald,C,not significantly different
2020 and 2021 SCMH (combined),High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,males,Alberta,737,418,53.4,48.7,58.1,Wald,C,not significantly different
2020 and 2021 SCMH (combined),High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,males,Saskatchewan,553,319,56.0,50.7,61.2,Wald,C,not significantly different
2020 and 2021 SCMH (combined),High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,males,Manitoba,645,384,56.4,51.7,61.1,Wald,C,not significantly different
2020 and 2021 SCMH (combined),High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,males,Ontario,1320,792,56.6,53.3,59.9,Wald,C,not significantly different
