Entity,Day,Total confirmed cases of COVID-19 per million people
Brazil,2021-07-07,89357.79
Brazil,2021-07-08,89654.99
Brazil,2021-07-09,89911.87
Brazil,2021-07-10,90167.33
Brazil,2021-07-11,90441.87
Brazil,2021-07-12,90672.5
Brazil,2021-07-13,90772.055
Brazil,2021-07-14,90853.04
Brazil,2021-07-15,91067.12
Brazil,2021-07-16,91341.65
Brazil,2021-07-17,91592.66
Brazil,2021-07-18,91809.44
Brazil,2021-07-19,91972.72
Brazil,2021-07-20,92134.99
Brazil,2021-07-21,92207.6
Brazil,2021-07-22,92338.805
Brazil,2021-07-23,92598.03
Brazil,2021-07-24,92834.62
Brazil,2021-07-25,93351.64
Brazil,2021-07-26,93532.76
Brazil,2021-07-27,93618.96
Brazil,2021-07-28,93709.305
Brazil,2021-07-29,93906.21
Brazil,2021-07-30,94134.51
Brazil,2021-07-31,94335.56
Brazil,2021-08-01,94530.06
Brazil,2021-08-02,94708.766
Brazil,2021-08-03,94806.26
Brazil,2021-08-04,94878.26
Brazil,2021-08-05,95031.92
Brazil,2021-08-06,95225.52
Brazil,2021-08-07,95415.98
Brazil,2021-08-08,95616.445
Brazil,2021-08-09,95821.06
Brazil,2021-08-10,95887.125
Brazil,2021-08-11,95944.586
Brazil,2021-08-12,96110.47
Brazil,2021-08-13,96264.734
Brazil,2021-08-14,96454.84
Brazil,2021-08-15,96616.195
Brazil,2021-08-16,96764.27
Brazil,2021-08-17,96830.64
Brazil,2021-08-18,96899.445
Brazil,2021-08-19,97078.3
Brazil,2021-08-20,97276.65
Brazil,2021-08-21,97449.32
Brazil,2021-08-22,97610.45
Brazil,2021-08-23,97745.44
Brazil,2021-08-24,97813.93
Brazil,2021-08-25,97876.234
Brazil,2021-08-26,98023.03
Brazil,2021-08-27,98168.87
Brazil,2021-08-28,98316.38
Brazil,2021-08-29,98446.414
Brazil,2021-08-30,98563.85
Brazil,2021-08-31,98626.664
Brazil,2021-09-01,98676.43
Brazil,2021-09-02,98793.35
Brazil,2021-09-03,98923.375
Brazil,2021-09-04,99048.336
Brazil,2021-09-05,99169.9
Brazil,2021-09-06,99273.58
Brazil,2021-09-07,99334.984
Brazil,2021-09-08,99378.516
Brazil,2021-09-09,99443.39
Brazil,2021-09-10,99512.01
Brazil,2021-09-11,99658.89
Brazil,2021-09-12,99734.74
Brazil,2021-09-13,99802.805
Brazil,2021-09-14,99853.27
Brazil,2021-09-15,99884.875
Brazil,2021-09-16,99948.62
Brazil,2021-09-17,100018.9
Brazil,2021-09-18,100182.5
Brazil,2021-09-19,100235.766
Brazil,2021-09-20,100949.516
Brazil,2021-09-21,100994.484
Brazil,2021-09-22,101031.98
Brazil,2021-09-23,101029.25
Brazil,2021-09-24,101202.68
Brazil,2021-09-25,101319.7
Brazil,2021-09-26,101412.13
Brazil,2021-09-27,101486.73
Brazil,2021-09-28,101527.945
Brazil,2021-09-29,101596.52
Brazil,2021-09-30,101669.73
Brazil,2021-10-01,101754.16
Brazil,2021-10-02,101885.05
Brazil,2021-10-03,101973.38
Brazil,2021-10-04,102037.414
Brazil,2021-10-05,102080.23
Brazil,2021-10-06,102129.8
Brazil,2021-10-07,102227.41
Brazil,2021-10-08,102312.49
Brazil,2021-10-09,102386.625
Brazil,2021-10-10,102473.03
Brazil,2021-10-11,102551.26
Brazil,2021-10-12,102592.336
Brazil,2021-10-13,102625.23
Brazil,2021-10-14,102660.22
Brazil,2021-10-15,102697.555
Brazil,2021-10-16,102765.49
Brazil,2021-10-17,102837.95
Brazil,2021-10-18,102891.45
Brazil,2021-10-19,102918.734
Brazil,2021-10-20,102954.14
Brazil,2021-10-21,103015.805
